id,l_pa,m_pa,v_pa,total_pa,sum_pa
2500100101,14,7,0,52.5,21
2500100201,24.666666666666668,9.5,0,79.75,34.16666666666667
2500100301,3,0.6666666666666666,0,7.5,3.6666666666666665
2500100302,41.5,0.16666666666666666,0,63,41.666666666666664
2500100401,12.75,7,12,146.625,31.75
2500100402,2,0,2,19,4
2500100501,37,17,1.75,146,55.75
2500100601,40.833333333333336,21,6,203.75,67.83333333333334
2500100701,3.75,0,0,5.625,3.75
2500100702,14,7,0,52.5,21
2500100703,3.5,18,0,86.25,21.5
2500100801,1.6666666666666665,14,0,65.5,15.666666666666666
2500100901,4.5,14,1,77.75,19.5
2500101101,10.25,4,0.5,37.375,14.75
2500101201,0.75,10.5,0,48.375,11.25
2500101301,21,39.666666666666664,0,210,60.666666666666664
2500101401,8.833333333333334,14,5,116.25,27.833333333333336
2500101501,7.333333333333332,14,0,74,21.333333333333332
2500101601,16.166666666666668,14,14,199.25,44.16666666666667
2500101701,18.333333333333332,3,7,97,28.333333333333332
2500101702,44.666666666666664,21,0,161.5,65.66666666666666
2500101801,23,7,1.1666666666666665,75.33333333333333,31.166666666666668
2500101901,6,3.333333333333333,0,24,9.333333333333332
2500102001,8.5,7,5,84.25,20.5
2500102101,16,1,4,60.5,21
2500102201,3.5,14,0,68.25,17.5
2500102301,1.75,14,0,65.625,15.75
2500102401,21,0,10,111.5,31
2500102402,2.0833333333333335,7,0,34.625,9.083333333333334
2500102501,23.833333333333332,4,0,53.75,27.833333333333332
2500102601,8.5,2,0,21.75,10.5
2500102701,4.75,4.083333333333334,0,25.500000000000004,8.833333333333334
2500102702,22.083333333333332,4.166666666666667,1,59.875,27.25
2500102801,5.416666666666666,4.666666666666666,0,29.124999999999996,10.083333333333332
2500102901,2.5,14,0,66.75,16.5
2500103001,3.25,4,0,22.875,7.25
2500103101,14.333333333333334,15.666666666666666,2.25,110,32.25
2500103201,8,43,0,205.5,51
2500103202,1.5833333333333333,0.16666666666666666,1.3333333333333333,13.791666666666666,3.083333333333333
2500103301,3,4,0,22.5,7
2500103401,47.5,24.666666666666664,4.833333333333333,220.91666666666666,76.99999999999999
2500103501,11.833333333333332,60.5,0,290,72.33333333333333
2500103601,5.25,6,2,50.875,13.25
2500103701,14.583333333333332,1,0.6666666666666666,31.708333333333332,16.25
2500103801,8,6.333333333333333,0.16666666666666666,41.833333333333336,14.499999999999998
2500103802,7.5,4,1,37.25,12.5
2500103901,30.166666666666664,8,0.75,87.25,38.916666666666664
2500103902,5.5,7,0,39.75,12.5
2500104001,89.33333333333333,3.833333333333333,1,159.25,94.16666666666666
2500104101,30.166666666666668,0,0,45.25,30.166666666666668
2500104102,37,29.166666666666668,0,186.75,66.16666666666667
2500104201,58.333333333333336,3,0,101,61.333333333333336
2500104202,6,42,0,198,48
2500104301,25,7,3,93,35
2500104302,7,15,0,78,22
2500104401,4.166666666666667,14,2,85.25,20.166666666666668
2500104501,15.833333333333332,30,0,158.75,45.83333333333333
2500104601,17.5,35,5,223.75,57.5
2500104701,2.5,4.666666666666666,2,40.75,9.166666666666666
2500104702,33.166666666666664,28,0,175.75,61.166666666666664
2500104801,58,17,5,203.5,80
2500104802,1.8333333333333335,7,0,34.25,8.833333333333334
2500104901,9.25,13.5,7,130.625,29.75
2500105001,5.333333333333333,56,0,260,61.333333333333336
2500105002,36,4,6.666666666666666,125.33333333333333,46.666666666666664
2500105101,4.333333333333333,7.25,0,39.125,11.583333333333332
2500105201,20.666666666666668,35.5,0,190.75,56.16666666666667
2500105301,21.916666666666668,2,2,57.875,25.916666666666668
2500105401,6,7,1,48.5,14
2500105402,6,3,0,22.5,9
2500105501,7.75,4.666666666666666,0,32.625,12.416666666666666
2500105601,88.83333333333333,7.5,6,215,102.33333333333333
2500105602,14.75,14,0,85.125,28.75
2500105701,24.5,3.6666666666666665,0,53.25,28.166666666666668
2500105801,1.6666666666666665,14,0,65.5,15.666666666666666
2500105901,4,3.333333333333333,0.5,25,7.833333333333333
2500106001,27.75,6,1.1666666666666667,77.95833333333333,34.916666666666664
2500106002,2.333333333333333,7,1,43,10.333333333333332
2500106101,5.333333333333333,7,0.5,43.5,12.833333333333332
2500106201,5.2,4.916666666666666,0,29.924999999999997,10.116666666666667
2500106202,30.916666666666668,1.5,0.1,53.925,32.51666666666667
2500106301,4,2,0,15,6
2500106401,9.166666666666666,9,5,94.25,23.166666666666664
2500106501,31.25,18,0,127.875,49.25
2500106601,1.5,0.6666666666666666,0,5.25,2.1666666666666665
2500106701,16.916666666666664,3,0,38.875,19.916666666666664
2500106801,25,8,0,73.5,33
2500106901,45,7,0,99,52
2500107001,22.75,1.3333333333333333,0,40.125,24.083333333333332
2500107101,9.5,45,0,216.75,54.5
2500107201,3.333333333333333,11,0,54.5,14.333333333333332
2500107301,8.5,70,0,327.75,78.5
2500107401,0.6666666666666666,84,0,379,84.66666666666667
2500107501,26.75,28,0,166.125,54.75
2500107601,8.75,6,24,232.125,38.75
2500107602,5.333333333333333,7,1,47.5,13.333333333333332
2500107701,15.25,9,3,87.375,27.25
2500107702,4.333333333333333,1.6666666666666665,0,14,6
2500107801,1.5,14,0,65.25,15.5
2500107901,5,0.5,0,9.75,5.5
2500108001,84,7,3,181.5,94
2500108101,1.5,14,0,65.25,15.5
2500108201,1.8333333333333335,21,3,121.25,25.833333333333332
2500108301,2,3.5,0,18.75,5.5
2500108401,3.5,2.5,0,16.5,6
2500108501,33.5,13.333333333333332,40,430.25,86.83333333333333
2500108701,24.5,14,0,99.75,38.5
2500108801,15.166666666666666,3.833333333333333,0,40,19
2500108901,7.5,3.5,0,27,11
2500109001,4.666666666666666,7,0,38.5,11.666666666666666
2500109101,4.916666666666667,6.416666666666666,0,36.25,11.333333333333332
2500109102,1.5833333333333333,8,3,62.375,12.583333333333334
2500109201,17.166666666666668,2,6,82.75,25.166666666666668
2500109301,17.5,2.333333333333333,0,36.75,19.833333333333332
2500109302,54.666666666666664,10.5,0.16666666666666666,130.58333333333334,65.33333333333333
2500109401,4.666666666666666,0.3333333333333333,0,8.5,4.999999999999999
2500109402,59.5,0.3333333333333333,0.5,94.75,60.333333333333336
2500109501,33,12,36,391.5,81
2500109601,45.5,42.166666666666664,5.5,302,93.16666666666666
2500109701,2.25,2.333333333333333,0,13.874999999999998,4.583333333333333
2500109801,77,21,2,226,100
2500109802,5.5,2,0,17.25,7.5
2500109901,9.333333333333332,4.666666666666666,2,50.99999999999999,15.999999999999998
2500110001,23,29,6,213,58
2500110101,1,46,4,240.5,51
